year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour
2013,1,1,559,600,-1,854,902,-8,UA,1187,N76515,EWR,LAS,337,2227,6,0,2013-01-01T11:00:00Z
2013,1,1,601,600,1,844,850,-6,B6,343,N644JB,EWR,PBI,147,1023,6,0,2013-01-01T11:00:00Z
2013,1,1,629,630,-1,721,740,-19,WN,4646,N273WN,LGA,BWI,40,185,6,30,2013-01-01T11:00:00Z
2013,1,1,658,700,-2,944,939,5,DL,1547,N6703D,LGA,ATL,126,762,7,0,2013-01-01T12:00:00Z
2013,1,1,658,700,-2,1027,1025,2,VX,399,N627VA,JFK,LAX,361,2475,7,0,2013-01-01T12:00:00Z
2013,1,1,659,700,-1,1008,1015,-7,AA,2279,N3EKAA,LGA,MIA,159,1096,7,0,2013-01-01T12:00:00Z
2013,1,1,711,715,-4,1151,1206,-15,B6,715,N651JB,JFK,SJU,190,1598,7,15,2013-01-01T12:00:00Z
2013,1,1,732,729,3,1041,1039,2,B6,1601,N563JB,LGA,RSW,167,1080,7,29,2013-01-01T12:00:00Z
2013,1,1,733,736,-3,854,850,4,B6,44,N552JB,JFK,SYR,54,209,7,36,2013-01-01T12:00:00Z
2013,1,1,749,710,39,939,850,49,MQ,3737,N508MQ,EWR,ORD,148,719,7,10,2013-01-01T12:00:00Z
2013,1,1,752,759,-7,955,959,-4,US,1733,N543UW,LGA,CLT,96,544,7,59,2013-01-01T12:00:00Z
2013,1,1,823,825,-2,1019,1024,-5,US,487,N655AW,JFK,CLT,96,541,8,25,2013-01-01T13:00:00Z
2013,1,1,826,715,71,1136,1045,51,AA,443,N3GVAA,JFK,MIA,160,1089,7,15,2013-01-01T12:00:00Z
2013,1,1,835,835,0,1210,1150,20,AA,717,N3BDAA,LGA,DFW,249,1389,8,35,2013-01-01T13:00:00Z
2013,1,1,857,905,-8,1107,1120,-13,DL,181,N321NB,LGA,DTW,110,502,9,5,2013-01-01T14:00:00Z
2013,1,1,900,900,0,1211,1203,8,UA,1170,N19130,EWR,FLL,161,1065,9,0,2013-01-01T14:00:00Z
2013,1,1,912,900,12,1241,1220,21,AA,647,N5CRAA,JFK,MIA,166,1089,9,0,2013-01-01T14:00:00Z
2013,1,1,912,906,6,1219,1226,-7,UA,1601,N38403,EWR,MIA,159,1085,9,6,2013-01-01T14:00:00Z
2013,1,1,920,905,15,1039,1025,14,B6,1305,N346JB,JFK,IAD,52,228,9,5,2013-01-01T14:00:00Z
2013,1,1,920,920,0,1152,1125,27,MQ,4582,N527MQ,LGA,CLT,92,544,9,20,2013-01-01T14:00:00Z
2013,1,1,936,940,-4,1235,1251,-16,DL,2137,N975DL,LGA,TPA,159,1010,9,40,2013-01-01T14:00:00Z
2013,1,1,959,1002,-3,1313,1319,-6,DL,2379,N965DL,LGA,FLL,151,1076,10,2,2013-01-01T15:00:00Z
2013,1,1,1024,1030,-6,1204,1215,-11,MQ,4471,N719MQ,LGA,RDU,78,431,10,30,2013-01-01T15:00:00Z
2013,1,1,1032,1035,-3,1305,1250,15,EV,4180,N13955,EWR,IND,135,645,10,35,2013-01-01T15:00:00Z
2013,1,1,1038,1030,8,1223,1202,21,UA,985,N423UA,EWR,ORD,149,719,10,30,2013-01-01T15:00:00Z
