year,month,day,dep_time,sched_dep_time,dep_delay,arr_time,sched_arr_time,arr_delay,carrier,flight,tailnum,origin,dest,air_time,distance,hour,minute,time_hour,group
2013,1,1,533,529,4,850,830,20,UA,1714,N24211,LGA,IAH,227,1416,5,29,2013-01-01T10:00:00Z,2
2013,1,1,542,540,2,923,850,33,AA,1141,N619AA,JFK,MIA,160,1089,5,40,2013-01-01T10:00:00Z,2
2013,1,1,557,600,-3,709,723,-14,EV,5708,N829AS,LGA,IAD,53,229,6,0,2013-01-01T11:00:00Z,2
2013,1,1,558,600,-2,924,917,7,UA,194,N29129,JFK,LAX,345,2475,6,0,2013-01-01T11:00:00Z,2
2013,1,1,615,615,0,1039,1100,-21,B6,709,N794JB,JFK,SJU,182,1598,6,15,2013-01-01T11:00:00Z,2
2013,1,1,624,630,-6,840,830,10,MQ,4599,N518MQ,LGA,MSP,166,1020,6,30,2013-01-01T11:00:00Z,2
2013,1,1,628,630,-2,1016,947,29,UA,1665,N33289,EWR,LAX,366,2454,6,30,2013-01-01T11:00:00Z,2
2013,1,1,732,735,-3,857,858,-1,B6,20,N304JB,JFK,ROC,64,264,7,35,2013-01-01T12:00:00Z,2
2013,1,1,743,749,-6,1043,1054,-11,B6,341,N624JB,JFK,SRQ,164,1041,7,49,2013-01-01T12:00:00Z,2
2013,1,1,746,746,0,1119,1129,-10,UA,1668,N24224,EWR,SFO,373,2565,7,46,2013-01-01T12:00:00Z,2
2013,1,1,754,759,-5,1039,1041,-2,DL,2047,N935DL,LGA,ATL,126,762,7,59,2013-01-01T12:00:00Z,2
2013,1,1,800,810,-10,949,955,-6,MQ,4406,N828MQ,JFK,RDU,80,427,8,10,2013-01-01T13:00:00Z,2
2013,1,1,805,815,-10,1006,1010,-4,MQ,4490,N739MQ,LGA,CMH,101,479,8,15,2013-01-01T13:00:00Z,2
2013,1,1,814,810,4,1047,1030,17,FL,346,N977AT,LGA,ATL,132,762,8,10,2013-01-01T13:00:00Z,2
2013,1,1,820,820,0,1254,1310,-16,B6,717,N527JB,JFK,SJU,190,1598,8,20,2013-01-01T13:00:00Z,2
2013,1,1,825,827,-2,1058,1105,-7,B6,611,N292JB,JFK,JAX,130,828,8,27,2013-01-01T13:00:00Z,2
2013,1,1,829,830,-1,1152,1200,-8,UA,443,N554UA,JFK,LAX,360,2475,8,30,2013-01-01T13:00:00Z,2
2013,1,1,830,830,0,1018,1015,3,AA,313,N4YCAA,LGA,ORD,137,733,8,30,2013-01-01T13:00:00Z,2
2013,1,1,848,851,-3,1155,1136,19,UA,1741,N27724,EWR,JAC,275,1874,8,51,2013-01-01T13:00:00Z,2
2013,1,1,851,851,0,1032,1036,-4,EV,4548,N19966,EWR,RDU,75,416,8,51,2013-01-01T13:00:00Z,2
2013,1,1,908,910,-2,1020,1027,-7,B6,56,N203JB,JFK,BTV,52,266,9,10,2013-01-01T14:00:00Z,2
2013,1,1,908,908,0,1228,1219,9,UA,1220,N12216,EWR,IAH,233,1400,9,8,2013-01-01T14:00:00Z,2
2013,1,1,914,900,14,1058,1043,15,UA,783,N810UA,EWR,CLE,85,404,9,0,2013-01-01T14:00:00Z,2
2013,1,1,917,920,-3,1313,1245,28,AA,721,N596AA,LGA,DFW,258,1389,9,20,2013-01-01T14:00:00Z,2
2013,1,1,917,915,2,1206,1211,-5,B6,41,N568JB,JFK,MCO,145,944,9,15,2013-01-01T14:00:00Z,2
2013,1,1,921,900,21,1237,1227,10,DL,120,N713TW,JFK,LAX,333,2475,9,0,2013-01-01T14:00:00Z,2
2013,1,1,926,929,-3,1404,1421,-17,B6,215,N775JB,EWR,SJU,191,1608,9,29,2013-01-01T14:00:00Z,2
2013,1,1,926,928,-2,1233,1220,13,UA,1597,N27733,EWR,EGE,287,1726,9,28,2013-01-01T14:00:00Z,2
2013,1,1,927,930,-3,1231,1257,-26,DL,1335,N951DL,LGA,RSW,166,1080,9,30,2013-01-01T14:00:00Z,2
2013,1,1,932,930,2,1219,1225,-6,VX,251,N641VA,JFK,LAS,324,2248,9,30,2013-01-01T14:00:00Z,2
2013,1,1,937,940,-3,1127,1120,7,WN,1807,N729SW,LGA,MKE,143,738,9,40,2013-01-01T14:00:00Z,2
2013,1,1,950,954,-4,1155,1142,13,EV,4681,N12567,EWR,STL,170,872,9,54,2013-01-01T14:00:00Z,2
2013,1,1,959,1000,-1,1151,1206,-15,US,1177,N765US,LGA,CLT,90,544,10,0,2013-01-01T15:00:00Z,2
2013,1,1,1025,951,34,1258,1302,-4,UA,501,N437UA,EWR,MCO,137,937,9,51,2013-01-01T14:00:00Z,2
2013,1,1,1028,1026,2,1350,1339,11,UA,1004,N76508,LGA,IAH,237,1416,10,26,2013-01-01T15:00:00Z,2
2013,1,1,1056,1100,-4,1407,1413,-6,DL,2185,N917DL,LGA,TPA,158,1010,11,0,2013-01-01T16:00:00Z,2
2013,1,1,1059,1100,-1,1201,1215,-14,WN,321,N505SW,LGA,BWI,43,185,11,0,2013-01-01T16:00:00Z,2
2013,1,1,1107,1115,-8,1305,1310,-5,MQ,4485,N730MQ,LGA,CMH,95,479,11,15,2013-01-01T16:00:00Z,2
2013,1,1,1127,1129,-2,1421,1425,-4,UA,1143,N14118,EWR,PBI,156,1023,11,29,2013-01-01T16:00:00Z,2
2013,1,1,1135,1140,-5,1429,1445,-16,AA,1623,N3EYAA,EWR,MIA,156,1085,11,40,2013-01-01T16:00:00Z,2
2013,1,1,1155,1200,-5,1517,1510,7,AA,3,N322AA,JFK,LAX,353,2475,12,0,2013-01-01T17:00:00Z,2
2013,1,1,1155,1200,-5,1441,1440,1,DL,1947,N904DL,LGA,ATL,133,762,12,0,2013-01-01T17:00:00Z,2
2013,1,1,1157,1205,-8,1342,1345,-3,MQ,4431,N723MQ,LGA,RDU,80,431,12,5,2013-01-01T17:00:00Z,2
2013,1,1,1202,1159,3,1645,1653,-8,UA,1663,N38403,EWR,SJU,187,1608,11,59,2013-01-01T16:00:00Z,2
2013,1,1,1231,1229,2,1523,1529,-6,UA,428,N402UA,EWR,FLL,156,1065,12,29,2013-01-01T17:00:00Z,2
2013,1,1,1248,1250,-2,1607,1607,0,UA,1280,N26210,LGA,IAH,238,1416,12,50,2013-01-01T17:00:00Z,2
